weapon#	name	head	helmet	torso	vest	arms	groin	butt	upperleg	lowerleg	foot
1	Knife	100	60	44	35	20	40	37	20	18	15
2	beretta	100	40	33	22	13	24	22	15	13	11
3	deagle	100	66	57	38	22	42	40	28	22	18
4	spas12	100	80	80	40	32	59	59	40	40	40
5	mp5k	50	34	30	20	11	22	20	15	13	11
6	ump45	100	51	44	29	17	31	28	21	17	14
7	hk69	20	20	20	20	20	20	20	20	20	20
8	lr	100	51	44	29	17	31	28	20	17	14
9	g36	100	51	44	29	17	31	28	20	17	14
10	psg1	100	100	97	63	36	75	70	41	36	29
11	HE 	0	0	0	0	0	0	0	0	0	0
13	Smoke 	0	0	0	0	0	0	0	0	0	0
14	sr8	100	100	100	100	50	100	97	60	50	40
15	ak103	100	58	51	34	19	36	33	22	19	15
17	negev	50	34	30	20	11	23	21	13	11	9
19	m4	100	51	44	29	17	31	28	20	17	14
20	glock	100	45	35	29	15	29	27	20	15	11
21	colt1911	100	60	40	30	15	32	29	22	15	11
22	mac11	50	29	20	16	13	16	15	15	13	11
23	frf1	100	100	90	75	40	75	74	50	40	30
24	benelli	100	100	90	67	32	60	50	35	30	20
25	p90	50	40	33	27	16	27	25	17	15	12
26	magnum	100	82	66	59	33	57	52	40	33	25
